GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PersonalProject,bg.softuni.personalproject.exceptionHandling,GlobalExceptionHandler,5,3,0,0,1,1,1,1,1,1
PersonalProject,bg.softuni.personalproject.config,ApplicationConfig,0,7,0,0,0,2,0,2,0,2
PersonalProject,bg.softuni.personalproject.config,SecurityConfiguration,0,102,0,0,0,25,0,4,0,4
PersonalProject,bg.softuni.personalproject.config,WebConfiguration,0,10,0,0,0,3,0,2,0,2
PersonalProject,bg.softuni.personalproject.model.validation,UniqueUsernameValidator,0,19,0,2,0,6,0,4,0,3
PersonalProject,bg.softuni.personalproject.model.validation,UniqueEmailValidator,0,16,0,0,0,6,0,3,0,3
PersonalProject,bg.softuni.personalproject.model.validation,PasswordMatchValidator,16,39,4,2,6,13,3,3,0,3
PersonalProject,bg.softuni.personalproject,PersonalProjectApplication,5,3,0,0,2,1,1,1,1,1
PersonalProject,bg.softuni.personalproject,AppDbInitializer,0,10,0,0,0,3,0,2,0,2
PersonalProject,bg.softuni.personalproject.web,OrderController,0,6,0,0,0,1,0,1,0,1
PersonalProject,bg.softuni.personalproject.web,ProductController,34,102,0,0,4,15,1,7,1,7
PersonalProject,bg.softuni.personalproject.web,UserController,25,75,2,4,7,18,3,8,1,7
PersonalProject,bg.softuni.personalproject.web,UsedProductController,65,127,1,3,11,25,3,10,2,9
PersonalProject,bg.softuni.personalproject.web,HomeController,0,80,0,0,0,11,0,8,0,8
PersonalProject,bg.softuni.personalproject.web,CommentRestController,43,48,0,2,7,8,1,5,1,4
PersonalProject,bg.softuni.personalproject.web,AdminController,7,431,0,14,0,87,1,41,1,34
PersonalProject,bg.softuni.personalproject.web,ShoppingCartController,0,78,0,0,0,15,0,6,0,6
PersonalProject,bg.softuni.personalproject.service,CommentService,0,88,0,0,0,17,0,4,0,4
PersonalProject,bg.softuni.personalproject.service,OrderService,38,134,3,1,4,28,5,8,3,8
PersonalProject,bg.softuni.personalproject.service,RoleService,0,41,0,2,0,10,0,6,0,5
PersonalProject,bg.softuni.personalproject.service,ShoppingCartService,12,95,0,0,0,19,1,9,1,9
PersonalProject,bg.softuni.personalproject.service,CategoryService,0,166,1,5,0,31,1,14,0,12
PersonalProject,bg.softuni.personalproject.service,UserService,31,303,3,1,0,61,5,23,3,23
PersonalProject,bg.softuni.personalproject.service,PaintShopDetailsService,0,49,0,0,0,15,0,5,0,5
PersonalProject,bg.softuni.personalproject.service,ProductService,0,221,0,6,0,39,0,18,0,15
PersonalProject,bg.softuni.personalproject.service,UsedProductService,0,153,1,1,0,29,1,8,0,8
PersonalProject,bg.softuni.personalproject.service,WarehouseService,0,143,0,4,0,34,0,14,0,12
PersonalProject,bg.softuni.personalproject.service,OrderProductService,29,76,4,0,0,18,5,8,3,8
PersonalProject,bg.softuni.personalproject.interceptors,LoggingInterceptor,16,64,2,6,5,18,2,6,0,4
PersonalProject,bg.softuni.personalproject.exception,ObjectNotFoundException,0,3,0,0,0,1,0,1,0,1
PersonalProject,bg.softuni.personalproject.exception,CommentNotFoundException,0,9,0,0,0,2,0,2,0,2
